user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_max,year_first,year_last,grade_first_fra,grade_last_fra,grade_mean_fra
4971,Australia,0,174,73,50.0,21,2004-07-02 22:00:00,2008-08-23 22:00:00,120,62,2004,2008,7b+,7c+,7b+
1353,Australia,1,161,53,34.0,2,2001-05-14 22:00:00,2012-07-28 22:00:00,214,72,2001,2012,8b/+,7c,7b+/7c
1340,Australia,0,179,68,35.0,22,2001-09-14 22:00:00,2016-01-01 23:00:00,172,72,2001,2016,8b+/8c,8a/+,8a+
7620,Australia,0,175,63,27.0,19,2005-09-30 22:00:00,2006-08-30 22:00:00,9,57,2005,2006,7c,7a+,7a+/7b
24020,Australia,0,188,78,47.0,9,2009-03-18 23:00:00,2011-05-13 22:00:00,33,53,2009,2011,6b/+,6a/+,6b/+
5063,Australia,0,174,63,43.0,17,2003-10-03 22:00:00,2015-09-14 22:00:00,124,64,2003,2015,7c,6b+/6c,7a+/7b
11808,Australia,1,160,48,24.0,19,2005-11-27 23:00:00,2009-06-07 22:00:00,22,51,2005,2009,6,7a,6a+/6b
21550,Australia,0,172,73,33.0,11,2008-08-23 22:00:00,2012-09-18 22:00:00,113,62,2008,2012,7b+,7c/+,7a
24043,Australia,0,180,68,31.0,11,2009-09-25 22:00:00,2016-08-29 22:00:00,47,59,2009,2016,6c/+,7a+,6c+/7a
17122,Australia,0,168,63,32.0,10,2008-01-27 23:00:00,2008-09-20 22:00:00,15,51,2008,2008,6a+/6b,6c/+,6b/+
9832,Australia,0,180,73,33.0,15,2005-03-17 23:00:00,2009-08-16 22:00:00,55,53,2005,2009,6c/+,6,6b/+
37923,Australia,0,173,63,38.0,11,2010-04-15 22:00:00,2017-01-07 23:00:00,57,59,2010,2017,7a+,6b/+,6c/+
38692,Australia,0,176,68,26.0,11,2012-07-08 22:00:00,2013-01-11 23:00:00,14,59,2012,2013,7c,7a+,7b+/7c
21452,Australia,0,170,68,46.0,15,2008-12-31 23:00:00,2015-02-07 23:00:00,52,55,2009,2015,7a,6b/+,6c+
16843,Australia,0,178,73,41.0,13,2007-09-30 22:00:00,2010-04-22 22:00:00,21,51,2007,2010,7a+,6a+/6b,6c+
27568,Australia,0,180,73,29.0,12,2008-07-19 22:00:00,2017-07-15 22:00:00,470,68,2008,2017,7b,7c,6c+
36424,Australia,0,176,68,31.0,17,2011-04-20 22:00:00,2011-03-21 23:00:00,6,64,2011,2011,8a+/8b,6a+/6b,7b
26762,Australia,1,142,40,20.0,10,2009-05-15 22:00:00,2010-06-09 22:00:00,10,46,2009,2010,5b+,5,5c+
