Country,grade_fra,route_count,color_intensity
Morocco,5c+,1,1
Morocco,6,2,2
Morocco,6a,2,2
Morocco,6a+,1,1
Morocco,6a+/6b,6,6
Morocco,6a/+,3,3
Morocco,6b+,1,1
Morocco,6b/+,1,1
Morocco,7a,1,1
Morocco,7a+,4,4
Morocco,7a+/7b,4,4
Morocco,7b,2,2
South Africa,5,16,16
South Africa,5a,23,23
South Africa,5a+,19,19
South Africa,5b,25,25
South Africa,5b+,30,30
South Africa,5c,12,12
South Africa,5c+,19,19
South Africa,6,25,25
South Africa,6a,15,15
South Africa,6a+,15,15
South Africa,6a+/6b,39,39
South Africa,6a/+,35,35
South Africa,6b,11,11
South Africa,6b+,16,16
South Africa,6b+/6c,39,39
South Africa,6b/+,42,42
South Africa,6c,16,16
South Africa,6c+,14,14
South Africa,6c+/7a,13,13
South Africa,6c/+,33,33
South Africa,7a,33,33
South Africa,7a+,31,31
South Africa,7a+/7b,10,10
South Africa,7a/+,24,24
South Africa,7b,20,20
South Africa,7b+,25,25
South Africa,7b+/7c,9,9
South Africa,7b/+,20,20
South Africa,7c,16,16
South Africa,7c+,9,9
South Africa,7c+/8a,5,5
South Africa,7c/+,8,8
South Africa,8a+,7,7
South Africa,8a+/8b,10,10
South Africa,8a/+,7,7
South Africa,8b,3,3
South Africa,8b+,2,2
South Africa,8b+/8c,1,1
South Africa,8b/+,3,3
South Africa,8c/+,1,1
