Country,grade_fra,route_count,color_intensity
Argentina,5,1,1
Argentina,5a+,1,1
Argentina,5b,1,1
Argentina,5b+,5,5
Argentina,5c+,1,1
Argentina,6,8,8
Argentina,6a,4,4
Argentina,6a+,5,5
Argentina,6a+/6b,14,14
Argentina,6a/+,5,5
Argentina,6b,4,4
Argentina,6b+,3,3
Argentina,6b+/6c,14,14
Argentina,6b/+,2,2
Argentina,6c,3,3
Argentina,6c+,3,3
Argentina,6c/+,9,9
Argentina,7a,20,20
Argentina,7a+,7,7
Argentina,7a+/7b,4,4
Argentina,7a/+,5,5
Argentina,7b,12,12
Argentina,7b+,5,5
Argentina,7b+/7c,2,2
Argentina,7b/+,5,5
Argentina,7c,8,8
Argentina,7c+,1,1
Argentina,7c+/8a,2,2
Argentina,7c/+,4,4
Argentina,8a+,4,4
Argentina,8a+/8b,1,1
Argentina,8a/+,3,3
Argentina,8b,1,1
Argentina,8b+/8c,2,2
Argentina,8b/+,1,1
Argentina,8c/+,1,1
Brazil,5,7,7
Brazil,5a,2,2
Brazil,5a+,15,15
Brazil,5b,8,8
Brazil,5b+,18,18
Brazil,5c,19,19
Brazil,5c+,20,20
Brazil,6,39,39
Brazil,6a,22,22
Brazil,6a+,27,27
Brazil,6a+/6b,81,81
Brazil,6a/+,35,35
Brazil,6b,31,31
Brazil,6b+,70,70
Brazil,6b+/6c,138,138
Brazil,6b/+,97,97
Brazil,6c,70,70
Brazil,6c+,48,48
Brazil,6c+/7a,30,30
Brazil,6c/+,124,124
Brazil,7a,78,78
Brazil,7a+,95,95
Brazil,7a+/7b,53,53
Brazil,7a/+,47,47
Brazil,7b,68,68
Brazil,7b+,39,39
Brazil,7b+/7c,34,34
Brazil,7b/+,42,42
Brazil,7c,54,54
Brazil,7c+,21,21
Brazil,7c+/8a,7,7
Brazil,7c/+,27,27
Brazil,8a,7,7
Brazil,8a+/8b,6,6
Brazil,8a/+,15,15
Brazil,8b,4,4
Brazil,8b+,1,1
Brazil,8b+/8c,1,1
Brazil,8b/+,1,1
Brazil,8c,2,2
Chile,6,1,1
Chile,6a,1,1
Chile,6a+/6b,1,1
Chile,6b,1,1
Chile,6b+,2,2
Chile,6b/+,1,1
Chile,6c,2,2
Chile,6c/+,2,2
Chile,7a,1,1
Chile,7a+,1,1
Chile,7a+/7b,2,2
Chile,7b,1,1
Chile,7b+,3,3
Chile,7b/+,4,4
Chile,7c,1,1
Chile,7c+,3,3
Chile,7c+/8a,2,2
Chile,7c/+,4,4
Chile,8a,1,1
Chile,8a+/8b,1,1
Chile,8a/+,1,1
Colombia,5,1,1
Colombia,5c,1,1
Colombia,6b,1,1
Colombia,7a+,2,2
Ecuador,6a+/6b,1,1
Peru,5a+,2,2
Peru,5b+,3,3
Peru,5c,2,2
Peru,5c+,2,2
Peru,6,4,4
Peru,6a,2,2
Peru,6a+,2,2
Peru,6a+/6b,7,7
Peru,6a/+,8,8
Peru,6b+,1,1
Peru,6b+/6c,1,1
Peru,6b/+,2,2
Peru,6c,2,2
Peru,6c/+,1,1
Peru,7a,1,1
Peru,7a+,1,1
Venezuela,5a,2,2
Venezuela,5a+,2,2
Venezuela,5b,4,4
Venezuela,5b+,2,2
Venezuela,5c,4,4
Venezuela,5c+,2,2
Venezuela,6,5,5
Venezuela,6a,3,3
Venezuela,6a+,5,5
Venezuela,6a+/6b,3,3
Venezuela,6a/+,6,6
Venezuela,6b,3,3
Venezuela,6b+,2,2
Venezuela,6b+/6c,9,9
Venezuela,6b/+,5,5
Venezuela,6c,6,6
Venezuela,6c+,3,3
Venezuela,6c+/7a,1,1
Venezuela,6c/+,7,7
Venezuela,7a,2,2
Venezuela,7a+,7,7
Venezuela,7a+/7b,6,6
Venezuela,7a/+,3,3
Venezuela,7b,5,5
Venezuela,7b+,2,2
Venezuela,7b+/7c,3,3
Venezuela,7b/+,1,1
Venezuela,7c,4,4
Venezuela,7c+,1,1
Venezuela,7c+/8a,2,2
Venezuela,7c/+,1,1
Venezuela,8a+,1,1
Venezuela,8a/+,3,3
