,crag,sector,name,grade_fra,Country
0,caiat,puerta,dubel premiere,6,Morocco
1,caiat,puerta,shuja zoe shuja,5c+,Morocco
2,caiat,puerta,wapa pipa,6,Morocco
3,caiat,triangle,hueskalerria,6a/+,Morocco
4,caiat,triangle,uz nechcije,6a/+,Morocco
5,caiat,triangle,vetrovka,6a,Morocco
6,todra,caos,belek belek,6b+,Morocco
7,todra,caos,de xauen a todra globo,7b,Morocco
8,todra,elephant,capuma,6a/+,Morocco
9,todra,elephant,cirgoniocuito l,6a,Morocco
10,todra,elephant,elephant,6a+/6b,Morocco
11,todra,elephant,hassan,6a+,Morocco
12,todra,elephant,linda,6a+/6b,Morocco
13,todra,elephant,monamour,6a+/6b,Morocco
14,todra,elephant,nr  w topo,6a+/6b,Morocco
15,todra,elephant,rachidia,6b/+,Morocco
16,todra,elephant,very hot shours,6a+/6b,Morocco
17,todra,gullich,chimba,7a+,Morocco
18,todra,trainee blanche,afrique adieu,7a+,Morocco
19,todra,trainee blanche,afrique physique,7a+,Morocco
20,todra,trainee blanche,aigle noir,7a+,Morocco
21,todra,trainee blanche,devers berbere,7a+/7b,Morocco
22,todra,trainee blanche,hilti fada,7b,Morocco
23,todra,trainee blanche,jardin dhiver,6a+/6b,Morocco
24,todra,trainee blanche,laproz des sables,7a,Morocco
25,todra,trainee blanche,le nikondu desert,7a+/7b,Morocco
26,todra,trainee blanche,tortuga,7a+/7b,Morocco
27,todra,trainee blanche,trois petits trous,7a+/7b,Morocco
28,alternative rock,eagle mountain harrismith,i saw elvis at the chains,6a/+,South Africa
29,boneyard,kloof gorge,in retrospect,5b+,South Africa
30,boneyard,kloof gorge,total anarchy,6a,South Africa
31,bonni boulder,eagle mountain harrismith,bonnis head,5b,South Africa
32,bonni boulder,eagle mountain harrismith,theres a bird in my shoe,5b,South Africa
33,boven,baboon buttress,afterthought,5b+,South Africa
34,boven,baboon buttress,almost uschi,6c/+,South Africa
35,boven,baboon buttress,diablo,7b,South Africa
36,boven,baboon buttress,dreamers,6c+,South Africa
