,crag,sector,name,grade_fra,Country
0,getu,great arch,alta compresion,8a+,China
1,getu,great arch,autochtono,7c+,China
2,getu,great arch,business in china,6a/+,China
3,getu,great arch,candide,7a,China
4,getu,great arch,chinese girl,7c/+,China
5,getu,great arch,dragon bolt z,6c,China
6,getu,great arch,dunman,7a,China
7,getu,great arch,jai vole mon ame a un clown,6b/+,China
8,getu,great arch,lost in translation,7b+/7c,China
9,getu,great arch,patate douce,7a,China
10,getu,great arch,piscineta cina,7b/+,China
11,getu,great arch,sar or die,6a/+,China
12,getu,great arch,se souvenir des belles choses,6b/+,China
13,getu,great arch,sushisson,6a+/6b,China
14,yangshuo,area,warcraft,8a,China
15,yangshuo,lei pi shan,artful dodger,7a+,China
16,yangshuo,lei pi shan,crash and burn,7a,China
17,yangshuo,lei pi shan,dousche baguette,7c+,China
18,yangshuo,lei pi shan,dream and hope,8a,China
19,yangshuo,lei pi shan,honky tonk,7c,China
20,yangshuo,lei pi shan,jeja,6b/+,China
21,yangshuo,lei pi shan,karate a muerte en torremolinos,8b/+,China
22,yangshuo,lei pi shan,kill the boss,7c+,China
23,yangshuo,lei pi shan,lightning,8b+,China
24,yangshuo,lei pi shan,ma jie,6a+/6b,China
25,yangshuo,lei pi shan,moxi village,7a+,China
26,yangshuo,lei pi shan,no garanty,8a/+,China
27,yangshuo,lei pi shan,one love,7c+,China
28,yangshuo,lei pi shan,papercut,7c+,China
29,yangshuo,lei pi shan,pickpocket,7a,China
30,yangshuo,lei pi shan,power of one,7a+,China
31,yangshuo,lei pi shan,silent snow,7c+,China
32,yangshuo,lei pi shan,single life,8a+,China
33,yangshuo,lei pi shan,singularity,7b,China
34,yangshuo,lei pi shan,sleight of hand da bao yu,7c,China
35,yangshuo,lei pi shan,storm born,8a+,China
36,yangshuo,lei pi shan,thunder,7c+/8a,China
37,yangshuo,lei pi shan,waiting for sophy,6c/+,China
38,yangshuo,moon hill,apogee,8a+/8b,China
39,yangshuo,moon hill,apollo,7a+,China
40,yangshuo,moon hill,artemis,6b/+,China
41,yangshuo,moon hill,dark side of the moon,6b,China
42,yangshuo,moon hill,eclipse,7a,China
43,yangshuo,moon hill,finger king,7b,China
44,yangshuo,moon hill,heavenly body,6c/+,China
45,yangshuo,moon hill,luna nascente,6a,China
46,yangshuo,moon hill,lunar tick,8a+,China
47,yangshuo,moon hill,mas cochino que un chino,6b+/6c,China
48,yangshuo,moon hill,moonwalker,7c,China
49,yangshuo,moon hill,name,7b,China
50,yangshuo,moon hill,new moon,6b/+,China
51,yangshuo,moon hill,over the moon,7b+,China
52,yangshuo,moon hill,proud sky,7b,China
53,yangshuo,moon hill,red dragon,7c+,China
54,yangshuo,moon hill,sea of tranquility,8a,China
55,yangshuo,riverside,avoid the plutoid,6b+/6c,China
56,yangshuo,riverside,beer will taste good,8b,China
57,yangshuo,riverside,dragonfly,7a+,China
58,yangshuo,riverside,everything guy,6b+/6c,China
59,yangshuo,riverside,exploited with impunity,7b,China
60,yangshuo,riverside,far far away,7b,China
61,yangshuo,riverside,fat monkey,7c+,China
62,yangshuo,riverside,flaming hornets,7c+/8a,China
63,yangshuo,riverside,little sister mother fucker,6b,China
64,yangshuo,riverside,smackdown,7c,China
65,yangshuo,riverside,small man big move,7a,China
66,yangshuo,riverside,stinger,8a/+,China
67,yangshuo,spearhead,drop your yolk,7a+,China
68,yangshuo,white mountain,abinormal,6c,China
69,yangshuo,white mountain,aiding and abetting,7a,China
70,yangshuo,white mountain,axeman,8a+,China
71,yangshuo,white mountain,big sun,6b+/6c,China
72,yangshuo,white mountain,blue magic,8b+,China
73,yangshuo,white mountain,captain debauchery,6c/+,China
74,yangshuo,white mountain,cave man,6b/+,China
75,yangshuo,white mountain,china climb,8a/+,China
76,yangshuo,white mountain,china white,7b,China
77,yangshuo,white mountain,comedians,6a+,China
78,yangshuo,white mountain,devil sticks,7b,China
79,yangshuo,white mountain,face route,6b+,China
80,yangshuo,white mountain,fire bird,6b+/6c,China
81,yangshuo,white mountain,from a space outta time,7c,China
82,yangshuo,white mountain,gang of four,7c,China
83,yangshuo,white mountain,gin and tonic,8a/+,China
84,yangshuo,white mountain,girl with a machette,7a,China
85,yangshuo,white mountain,happy chanukah,7b,China
86,yangshuo,white mountain,jiu jiu hua xiang,5b+,China
87,yangshuo,white mountain,korea,8a+/8b,China
88,yangshuo,white mountain,liang ba sua jie,6,China
89,yangshuo,white mountain,lily li session,7b,China
