,crag,sector,name,grade_fra,Country
0,montserrat,prohibitivo,diagonal de la x,7a/+,Andorra
1,montserrat,prohibitivo,mehir,7a,Andorra
2,montserrat,prohibitivo,pas de la discordia,7a,Andorra
3,tartareu,bombo suis,tenedor libre,6c,Andorra
4,achleiten,hauptsektor,blutgratsche,7a,Austria
5,achleiten,hauptsektor,direkte,6,Austria
6,achleiten,hauptsektor,dornenriss,6a,Austria
7,achleiten,hauptsektor,falkenriss,7a+,Austria
8,achleiten,hauptsektor,fledermausriss,5a+,Austria
9,achleiten,hauptsektor,kamelbuckel,6b+,Austria
10,achleiten,hauptsektor,powerplay,7b,Austria
11,achleiten,hauptsektor,sandler,5b+,Austria
12,achleiten,hauptsektor,speedy,6a/+,Austria
13,achleiten,hauptsektor,starlet,6c/+,Austria
14,achleiten,hauptwand,thaliastrasse,6b+/6c,Austria
15,achleiten,rosengarten,big mac,7a+/7b,Austria
16,achleiten,rosengarten,burger king,8a/+,Austria
17,achleiten,rosengarten,deppentrail,7a+,Austria
18,achleiten,rosengarten,dozy,6b/+,Austria
19,achleiten,rosengarten,eastend,7c+,Austria
20,achleiten,rosengarten,frauenpower,7b,Austria
21,achleiten,rosengarten,furz,7c/+,Austria
22,achleiten,rosengarten,hakuna matata,7b/+,Austria
23,achleiten,rosengarten,leninakan  sl,7a+,Austria
24,achleiten,rosengarten,leukotherma,8a+/8b,Austria
25,achleiten,rosengarten,merci kat,7c+,Austria
26,achleiten,rosengarten,moritz,6c/+,Austria
27,achleiten,rosengarten,powerplay,7b,Austria
28,achleiten,rosengarten,reine mannersache,8a+/8b,Austria
29,achleiten,rosengarten,rg pfeiler plus sl,7a+/7b,Austria
30,achleiten,rosengarten,surprise,7a,Austria
31,achleiten,rosengarten,totzenhacker,7b/+,Austria
32,achleiten,rosengarten,tschernobyl,6a+,Austria
33,achleiten,rosengarten,via anita,6a+/6b,Austria
34,achleiten,rosengarten,vibrator,7a+/7b,Austria
35,adlitzgraben,monster,hau den lukas,7a/+,Austria
36,adlitzgraben,monster,streetfighter,7c,Austria
37,adlitzgraben,monster,sz fury,6b/+,Austria
38,adlitzgraben,spielplatz,affentanz,6a,Austria
39,adlitzgraben,spielplatz,body encounter,6c+,Austria
40,adlitzgraben,spielplatz,buzz,6c+,Austria
41,adlitzgraben,spielplatz,denk aus ende,6b,Austria
42,adlitzgraben,spielplatz,die  seiten l,6c/+,Austria
43,adlitzgraben,spielplatz,fortes fortuna adiuvat verlangerung,6b/+,Austria
44,adlitzgraben,spielplatz,gmahde wiesn,6b,Austria
45,adlitzgraben,spielplatz,grauzone,6b+/6c,Austria
46,adlitzgraben,spielplatz,grenzblokade,6b+,Austria
47,adlitzgraben,spielplatz,himmel auf erden,6b+/6c,Austria
48,adlitzgraben,spielplatz,immer wenn er pillen nahm,7a+,Austria
49,adlitzgraben,spielplatz,linea,7b+,Austria
50,adlitzgraben,spielplatz,lux line einstiegsvariante,6b/+,Austria
51,adlitzgraben,spielplatz,mimelitt,5c+,Austria
52,adlitzgraben,spielplatz,necrosanct,7b/+,Austria
53,adlitzgraben,spielplatz,per aspera ad astra,6a+,Austria
54,adlitzgraben,spielplatz,pief tartar,6a+/6b,Austria
55,adlitzgraben,spielplatz,reise durch das kuckucksnest,6b,Austria
56,adlitzgraben,spielplatz,rostiger bohrhaken,5c+,Austria
57,adlitzgraben,spielplatz,schuppe ade,6b,Austria
58,adlitzgraben,spielplatz,spielplatz der helden,7a+,Austria
59,adlitzgraben,strassenwand,a lot of work,6c/+,Austria
60,adlitzgraben,strassenwand,alltag in franken,6b+,Austria
61,adlitzgraben,strassenwand,back to work,8a+/8b,Austria
62,adlitzgraben,strassenwand,bloc rockin beats,8a+/8b,Austria
63,adlitzgraben,strassenwand,cheap kong verlangerung,7b/+,Austria
64,adlitzgraben,strassenwand,cheap sunglasses,7c+/8a,Austria
65,adlitzgraben,strassenwand,existenzialminimum verlangerung,7a+,Austria
66,adlitzgraben,strassenwand,frisch geschottert,6b+,Austria
67,adlitzgraben,strassenwand,gozilla,7b,Austria
68,adlitzgraben,strassenwand,hau den lukas,7a+/7b,Austria
69,adlitzgraben,strassenwand,holy shit,7b+,Austria
70,adlitzgraben,strassenwand,king kong verlangerung,7a/+,Austria
71,adlitzgraben,strassenwand,liebling der schwerkraft,6c/+,Austria
72,adlitzgraben,strassenwand,magisches musli,6b,Austria
73,adlitzgraben,strassenwand,mittelsturmer,6b+,Austria
74,adlitzgraben,strassenwand,new geri nation kis gerecse forever,7a+/7b,Austria
75,adlitzgraben,strassenwand,ora et praeserva,7b,Austria
76,adlitzgraben,strassenwand,orkrist,7b+,Austria
