,crag,sector,name,grade_fra,Country
0,acephale,lower wall,dark dance,7b+,Canada
1,acephale,lower wall,dark half,7c+/8a,Canada
2,acephale,lower wall,deal with it,7b+,Canada
3,acephale,lower wall,hickory dickory dock,7b,Canada
4,acephale,lower wall,illy down,7b+,Canada
5,acephale,lower wall,irradicator,7a+,Canada
6,acephale,lower wall,keys in the car,6b,Canada
7,acephale,lower wall,last dance,7c/+,Canada
8,acephale,lower wall,naissance de la femme,8a/+,Canada
9,acephale,lower wall,nemo,7c/+,Canada
10,acephale,lower wall,neoconstructionist,6c,Canada
11,acephale,lower wall,nickel bag,6b/+,Canada
12,acephale,lower wall,nicklebag,6b/+,Canada
13,acephale,lower wall,nyctophobia,7c+,Canada
14,acephale,lower wall,pandora,8a/+,Canada
15,acephale,lower wall,part maudite,7b+,Canada
16,acephale,lower wall,warm up,6b,Canada
17,acephale,lower wall,wet lust,8a+/8b,Canada
18,acephale,lower wall,wheres mum,7a+/7b,Canada
19,acephale,upper wall, steps,7c/+,Canada
20,acephale,upper wall,altius,7b+,Canada
21,acephale,upper wall,army ants,8a+/8b,Canada
22,acephale,upper wall,bataille,6c,Canada
23,acephale,upper wall,copocabana,7b+,Canada
24,acephale,upper wall,dales extender,6c,Canada
25,acephale,upper wall,endless summer,8b+,Canada
26,acephale,upper wall,gingus americanus,7c,Canada
27,acephale,upper wall,half nelson,7c,Canada
28,acephale,upper wall,hood,8a/+,Canada
29,acephale,upper wall,ice box of broken dreams,7c/+,Canada
30,acephale,upper wall,jump you prick jump,7c+/8a,Canada
31,acephale,upper wall,le stade du miroir,7b,Canada
32,acephale,upper wall,raging boner,7c,Canada
33,acephale,upper wall,stiff warm up,6b+,Canada
34,acephale,upper wall,sweet thing,8a+,Canada
35,acephale,upper wall,tribe,7b+/7c,Canada
36,acephale,upper wall,whale back,8a+/8b,Canada
37,baldi,gauche,pouilleux dhopetown,6a+/6b,Canada
38,baldi,main wall,ulysse,7c+,Canada
39,beach,main wall,static cling,6c/+,Canada
40,calabogie,main cliff,breakfast cookie,6a+/6b,Canada
41,cap des peres,headwall,zouave,7b,Canada
42,carrot creek,cave,anti oedipus,7a+,Canada
43,carrot creek,cave,gorilla warfare,7a+,Canada
44,cheakamus canyon,circus,face the music,7a+,Canada
45,cheakamus canyon,circus,fleeing heifer,7b+,Canada
46,cheakamus canyon,forgotten wall,creeping right,6b/+,Canada
47,cheakamus canyon,forgotten wall,creepy crawlers,6b+/6c,Canada
48,cheakamus canyon,forgotten wall,forgotten realm,6,Canada
49,cheakamus canyon,forgotten wall,junkyard patio,6b+/6c,Canada
50,cheakamus canyon,forgotten wall,low impact,6a/+,Canada
51,cheakamus canyon,forgotten wall,rug munchers,7a,Canada
52,cheakamus canyon,forgotten wall,spider bite,6c/+,Canada
53,cheakamus canyon,forgotten wall,trunk monkey,7a+,Canada
54,cheakamus canyon,forgotten wall,voodoo that you do,6a/+,Canada
55,cheakamus canyon,squamish,got pull,7a+,Canada
56,chek canyon,circus,bottom feeder,7c,Canada
57,chek canyon,circus,boy pie,5a+,Canada
58,chek canyon,circus,cut to the chase,7b+,Canada
59,chek canyon,circus,face the music,7a+,Canada
60,chek canyon,circus,fleeing bovine,7c,Canada
61,chek canyon,circus,fleeing heifer,7b+/7c,Canada
62,chek canyon,circus,fur bodysuit,6a/+,Canada
63,chek canyon,circus,heifer down,7c/+,Canada
64,chek canyon,circus,in the black,6b+/6c,Canada
65,chek canyon,circus,light my way,6b/+,Canada
66,chek canyon,circus,mikes link,7c+,Canada
67,chek canyon,circus,neutered bovine,6c+,Canada
68,chek canyon,circus,original fish hotline,7b+,Canada
69,chek canyon,circus,pig farm,6,Canada
70,chek canyon,circus,practical horseman,7c/+,Canada
71,chek canyon,circus,wayward bovine,7b,Canada
72,chek canyon,circus,white trash,7c,Canada
73,chek canyon,forgotten wall,boiler room,7b+/7c,Canada
74,chek canyon,forgotten wall,bullet and the blue car,6b/+,Canada
75,chek canyon,forgotten wall,creeping right,6b/+,Canada
76,chek canyon,forgotten wall,creepy crawlers,6b+/6c,Canada
77,chek canyon,forgotten wall,filth infatuated,6c/+,Canada
78,chek canyon,forgotten wall,forgotten realm,6,Canada
79,chek canyon,forgotten wall,from beneath you it devours,7b/+,Canada
80,chek canyon,forgotten wall,funkytown,7b+/7c,Canada
81,chek canyon,forgotten wall,got pull,7a+,Canada
82,chek canyon,forgotten wall,incredible journey,7a+,Canada
83,chek canyon,forgotten wall,junkyard patio,6c,Canada
