,crag,sector,name,grade_fra,Country
0,arapiles,arapiles,wall of the afternoon sun,6,Australia
1,arapiles,organ pipes,aardvark,6,Australia
2,arapiles,organ pipes,stentor,5a,Australia
3,arapiles,organ pipes,tannin,6a/+,Australia
4,arapiles,organ pipes,wraith,6b+,Australia
5,arapiles,tiger wall,no future,6b/+,Australia
6,arapiles,tiger wall,resignation,5a,Australia
7,bell sunnyside,bell,on main wall,7b+,Australia
8,berowra,orange wall,wall thing,6,Australia
9,blue bell,main wall,gatekeeper,7a,Australia
10,blue mountains,atlantis,herminator,7a+/7b,Australia
11,blue mountains,atlantis,subwoofer,6a+,Australia
12,blue mountains,atlantis,twenty something,7a,Australia
13,blue mountains,bardens lookout,arrow and the song,5,Australia
14,blue mountains,bardens lookout,bloodline,8b+,Australia
15,blue mountains,bardens lookout,booby trap,8a+/8b,Australia
16,blue mountains,bardens lookout,brain haemorrhage,8b/+,Australia
17,blue mountains,bardens lookout,cave route,7a+,Australia
18,blue mountains,bardens lookout,change junkies,6a,Australia
19,blue mountains,bardens lookout,changes,6a+/6b,Australia
20,blue mountains,bardens lookout,chicken skin,7a+,Australia
21,blue mountains,bardens lookout,dr do little,6b/+,Australia
22,blue mountains,bardens lookout,electric blue,6a,Australia
23,blue mountains,bardens lookout,george king of the jungle,7b,Australia
24,blue mountains,bardens lookout,go lotto,6a+/6b,Australia
25,blue mountains,bardens lookout,goosebumps,7a+,Australia
26,blue mountains,bardens lookout,hang on to yourself,6c/+,Australia
27,blue mountains,bardens lookout,happy new year,6,Australia
28,blue mountains,bardens lookout,hermione,5b,Australia
29,blue mountains,bardens lookout,holy leaping shortarses batman,7a+,Australia
30,blue mountains,bardens lookout,hunky dory,6c/+,Australia
31,blue mountains,bardens lookout,it takes a lot to laugh it takes a train to cry,8a/+,Australia
32,blue mountains,bardens lookout,its no game,7a,Australia
33,blue mountains,bardens lookout,jean genie,7a+,Australia
34,blue mountains,bardens lookout,jolly good fellow,5c+,Australia
35,blue mountains,bardens lookout,karinya,5a+,Australia
36,blue mountains,bardens lookout,kates kangaroo dance,7a/+,Australia
37,blue mountains,bardens lookout,lady grinning soul,6c,Australia
38,blue mountains,bardens lookout,lady stardust,6c/+,Australia
39,blue mountains,bardens lookout,little triggers,6a/+,Australia
40,blue mountains,bardens lookout,major tom,7a/+,Australia
41,blue mountains,bardens lookout,mals mega route,6c/+,Australia
42,blue mountains,bardens lookout,mike and lorna go to town,6a,Australia
43,blue mountains,bardens lookout,pleasures of all flesh,8a+,Australia
44,blue mountains,bardens lookout,puppy fat,7a/+,Australia
45,blue mountains,bardens lookout,scheme of things,7a,Australia
46,blue mountains,bardens lookout,sound and vision,6b/+,Australia
47,blue mountains,bardens lookout,starman,6b/+,Australia
48,blue mountains,bardens lookout,these terrors be but arguments for the children,7b+/7c,Australia
49,blue mountains,bardens lookout,turkey slap,7b+,Australia
50,blue mountains,bardens lookout,way of all flesh m,7c/+,Australia
51,blue mountains,bardens lookout,who killed bambi,6c/+,Australia
52,blue mountains,bell,an angel walks by,7a,Australia
53,blue mountains,bell,autophagocytosis,7c,Australia
54,blue mountains,bell,belayers root,6a/+,Australia
55,blue mountains,bell,blow torch,6c+/7a,Australia
56,blue mountains,bell,cavity search,7b+,Australia
57,blue mountains,bell,crumple zone,7b+/7c,Australia
58,blue mountains,bell,daffy,6c+,Australia
59,blue mountains,bell,darkwing duck,7b,Australia
60,blue mountains,bell,does my bum look big on this,7b+,Australia
61,blue mountains,bell,duck tits,6b/+,Australia
62,blue mountains,bell,duck walk,7b+,Australia
63,blue mountains,bell,duckling,6a+/6b,Australia
64,blue mountains,bell,event horizon,7c,Australia
65,blue mountains,bell,fast forward the future,8b/+,Australia
66,blue mountains,bell,femme flic,6b/+,Australia
67,blue mountains,bell,fly fury,6a/+,Australia
68,blue mountains,bell,gosling,6,Australia
69,blue mountains,bell,gushing gargoyles,7c+,Australia
70,blue mountains,bell,jingle bells,6b/+,Australia
71,blue mountains,bell,megan,6a/+,Australia
72,blue mountains,bell,mr redeemer,7c,Australia
73,blue mountains,bell,paddle steamer,7b,Australia
74,blue mountains,bell,paint god,7b,Australia
75,blue mountains,bell,pluck a duck,7a+/7b,Australia
76,blue mountains,bell,realite nexiste pas,7c/+,Australia
77,blue mountains,bell,reality dysfunction,7b,Australia
78,blue mountains,bell,seamstress,6c/+,Australia
