,crag,sector,name,grade_fra,Country
0,bandurrias,rincon,tendinitis,7a,Argentina
1,bariloche,pared blanca,barbaroja,7a,Argentina
2,bariloche,pared blanca,barbas del capitan,6c/+,Argentina
3,bariloche,pared blanca,jack sparrow,7a+,Argentina
4,bariloche,pared blanca,lenguita de gato,7b,Argentina
5,barrosa,matrix,matrix,7a,Argentina
6,buitrera,alero,amamantamos la cachorra,6b+/6c,Argentina
7,buitrera,alero,capitan pingaloca,6b+/6c,Argentina
8,buitrera,alero,indomita,6c/+,Argentina
9,buitrera,alero,mas chingona,6c/+,Argentina
10,buitrera,gruyere,cojo anal,6a+/6b,Argentina
11,buitrera,ongi etorri,algo muy sucio,6,Argentina
12,buitrera,ongi etorri,chinchillon,6a+/6b,Argentina
13,buitrera,ongi etorri,vida en el filo,5b,Argentina
14,buitreras,alero,mickey mouse,6a+/6b,Argentina
15,buitreras,alero,planeta agujero,6c,Argentina
16,buitreras,alero,punto g,5c+,Argentina
17,buitreras,ongi etorri,algo muy sucio,5b+,Argentina
18,buitreras,ongi etorri,chinchillon,6a/+,Argentina
19,casa de piedra,san martin de los andes,betty la fea,6a+/6b,Argentina
20,cerro ventana,abajo,chorro negro,7a/+,Argentina
21,cerro ventana,abajo,conchaqueta,6b+/6c,Argentina
22,cerro ventana,abajo,expresso,7a,Argentina
23,cerro ventana,abajo,halcones galacticos,6a+/6b,Argentina
24,cerro ventana,abajo,reaccion en cadena,6a,Argentina
25,cerro ventana,abajo,spineta,6b+/6c,Argentina
26,cerro ventana,abajo,vamos a morrir,6a+,Argentina
27,cerro ventana,abajo,woody good dog,6b,Argentina
28,cerro ventana,visera,forza makita,7c,Argentina
29,covisal,cueva,canguro magico,7c/+,Argentina
30,covisal,cueva,envergadura total,7a,Argentina
31,covisal,cueva,hormiga atomica,7c,Argentina
32,covisal,cueva,huelga de princesas,7b+/7c,Argentina
33,covisal,cueva,huntito,8a+,Argentina
34,covisal,cueva,me la tenes clara,7b,Argentina
35,covisal,cueva,milena,7b/+,Argentina
36,covisal,cueva,sauron,8a+,Argentina
37,covisal,san martin de los andes,envergadura,7a,Argentina
38,covisal,san martin de los andes,gran cajeta,6a/+,Argentina
39,frey,abuelo,aprendiendo a volar,6a+,Argentina
40,frey,abuelo,naca naca crunch crunch,6,Argentina
41,morenhuapi,sector principal,castigo de jehova,6a+/6b,Argentina
42,morenhuapi,sector principal,de primate,6a/+,Argentina
43,morenhuapi,sector principal,fuking pinches,7a,Argentina
44,morenhuapi,sector principal,muchamina,7b,Argentina
45,morenhuapi,sector principal,pinche cabron,7a,Argentina
46,morenhuapi,sector principal,shantala,6b/+,Argentina
47,morenito,playita,boquita de dama,7c,Argentina
48,morenito,playita,cuiyibo,7c+,Argentina
49,morenito,playita,mi perro dinamita,7b+,Argentina
50,morenito,playita,namaste,6c/+,Argentina
51,morenito,playita,siempre es lo mismo nena,7a+/7b,Argentina
52,morenito,playita,tu perro guardian,7c/+,Argentina
53,piedra parada,alero,adan en su eden,5b+,Argentina
54,piedra parada,alero,amplio moncada,7a+,Argentina
55,piedra parada,alero,capitan pingaloca,6b+/6c,Argentina
56,piedra parada,alero,dura de entrarle,7b/+,Argentina
57,piedra parada,alero,indomita,6c/+,Argentina
58,piedra parada,alero,mas chingona,6c+,Argentina
59,piedra parada,alero,mickey mouse,6a+/6b,Argentina
60,piedra parada,alero,planeta agujero,6c,Argentina
61,piedra parada,alero,ponienola cachonda,6c+,Argentina
62,piedra parada,alero,propulsion a chorro,6c,Argentina
63,piedra parada,alero,punto g,5b+,Argentina
64,piedra parada,alero,rio de lava,7a/+,Argentina
65,piedra parada,anfiteatro,en eleste esta el cachengue,7a/+,Argentina
66,piedra parada,anfiteatro,epifania,7c,Argentina
67,piedra parada,anfiteatro,estigma,7b,Argentina
68,piedra parada,anfiteatro,grito de cristal,7a+,Argentina
69,piedra parada,anfiteatro,homofobica,7c/+,Argentina
70,piedra parada,anfiteatro,limites de la partner,7b,Argentina
71,piedra parada,anfiteatro,para entibiar,6b+/6c,Argentina
72,piedra parada,anfiteatro,pongame una cerveza pulpero,7a/+,Argentina
73,piedra parada,anfiteatro,revelacion divina,7a+,Argentina
74,piedra parada,anfiteatro,sacrificio del corderoy,6b+,Argentina
75,piedra parada,anfiteatro,te chifla la cachifla,7b/+,Argentina
76,piedra parada,anfiteatro,uyuyui,7a+,Argentina
77,piedra parada,anfiteatro,zonda patagonico,7b+,Argentina
78,piedra parada,calavera,coordinacion formacion,8b+/8c,Argentina
79,piedra parada,calavera,cuarzo,7a,Argentina
80,piedra parada,calavera,cumbia de la buitrera,8a/+,Argentina
81,piedra parada,calavera,dulce duro,8a+,Argentina
82,piedra parada,calavera,erizo protegido por alambres de puas,6a+/6b,Argentina
83,piedra parada,calavera,flecha perdida,7b,Argentina
84,piedra parada,calavera,le merlin,7c,Argentina
85,piedra parada,calavera,les yeux qui piquent,7c+/8a,Argentina
86,piedra parada,calavera,mediacratia,7b,Argentina
87,piedra parada,calavera,nueva atras de la flecha,6a+,Argentina
88,piedra parada,calavera,nueva de kopcke,6a+,Argentina
89,piedra parada,calavera,nununu,7a/+,Argentina
90,piedra parada,calavera,pan blanco,8b+/8c,Argentina
91,piedra parada,calavera,piedra rolada,6a+/6b,Argentina
92,piedra parada,calavera,sofia,6a+/6b,Argentina
93,piedra parada,calavera,sunny twins,6a,Argentina
94,piedra parada,calavera,tete du mort,7a,Argentina
95,piedra parada,calavera,tremble nahir tremble,6,Argentina
96,piedra parada,calavera,universal local,7a,Argentina
97,piedra parada,calavera,vino malbec,7c,Argentina
98,piedra parada,circo,a rajatabla,5b+,Argentina
99,piedra parada,circo,alharaca de la bandurria,7a,Argentina
100,piedra parada,circo,angel copulador,7a,Argentina
101,piedra parada,circo,apriete final,7c,Argentina
102,piedra parada,circo,aquelarre,6b+/6c,Argentina
103,piedra parada,circo,autofelatio,8a+/8b,Argentina
104,piedra parada,circo,birlocha party,6a+/6b,Argentina
105,piedra parada,circo,cabernet suavezon,6c/+,Argentina
106,piedra parada,circo,chaupapa,6c/+,Argentina
107,piedra parada,circo,clan mono,7b+,Argentina
108,piedra parada,circo,culebron de las marujas,6b,Argentina
109,piedra parada,circo,empanada locro y vino,5,Argentina
110,piedra parada,circo,laucha cuchillera,6c/+,Argentina
111,piedra parada,circo,mansa panza,5b+,Argentina
112,piedra parada,circo,manso guiso,7b+,Argentina
113,piedra parada,circo,mateina cafeina y todas las minas,7a+,Argentina
114,piedra parada,circo,mujeres al poder,7b,Argentina
115,piedra parada,cortas,amigo del pan,6,Argentina
116,piedra parada,cueva,dulce duro,8a+,Argentina
117,piedra parada,gradas,sunny twins,6a,Argentina
118,piedra parada,gruyere,asado fatal,6,Argentina
119,piedra parada,gruyere,cojo anal,6b,Argentina
120,piedra parada,gruyere,mustache gracias,6b+/6c,Argentina
121,piedra parada,ongi etorri,algo muy sucio,6,Argentina
122,piedra parada,ongi etorri,apriete cachete,7b+,Argentina
123,piedra parada,ongi etorri,chinchillon,6a+/6b,Argentina
124,piedra parada,ongi etorri,feng shuy,6a+/6b,Argentina
125,piedra parada,ongi etorri,sos pechosa,7a,Argentina
126,piedra parada,ortigas,a las hora del postre,7a,Argentina
127,piedra parada,ortigas,cascarrona,7a,Argentina
128,piedra parada,ortigas,chapati con dulce de leche,6b+/6c,Argentina
129,piedra parada,ortigas,concierto de taladros,6a/+,Argentina
130,piedra parada,ortigas,corazon contento,6b+,Argentina
131,piedra parada,ortigas,enana blanca,7c,Argentina
132,piedra parada,ortigas,negro rasta,6b+/6c,Argentina
133,piedra parada,ortigas,pajaro carpintero,6b+,Argentina
134,piedra parada,ortigas,panza llena,6b+/6c,Argentina
135,piedra parada,ortigas,pety gourmet extension,6b/+,Argentina
136,piedra parada,ortigas,te de ortigas,6a/+,Argentina
137,piedra parada,ortigas,tom sawyer,6b+/6c,Argentina
138,piedra parada,ortigas,variante inaki,7b/+,Argentina
139,piedra parada,totem,efecto cafe,7a,Argentina
140,piedra parada,totem,espolon de la tarantula,7b,Argentina
141,piedra parada,totem,pico de pato,7b,Argentina
142,trebol,pared blanca,barbaroja,7a,Argentina
143,trebol,pared blanca,barbas del capitan,6c+,Argentina
144,trebol,pared blanca,calavera no chilla,8a/+,Argentina
145,trebol,pared blanca,capitan bachi,7a,Argentina
146,trebol,pared blanca,chacopalai,8b,Argentina
147,trebol,pared blanca,chimichanga,8a/+,Argentina
148,trebol,pared blanca,corsario negro,7c+/8a,Argentina
149,trebol,pared blanca,galletita dulce,6,Argentina
150,trebol,pared blanca,guerra de peditos,5a+,Argentina
151,trebol,pared blanca,habitante del raviol,7b+/7c,Argentina
152,trebol,pared blanca,isla del tesoro,6a+,Argentina
153,trebol,pared blanca,jack sparrow,7a+/7b,Argentina
154,trebol,pared blanca,lenguita de gato,7b,Argentina
155,trebol,pared blanca,mandibula de titanio,6c/+,Argentina
156,trebol,pared blanca,pata de palo,7a+/7b,Argentina
157,trebol,pared blanca,paty,7b,Argentina
158,trebol,pared blanca,perla negra,6a,Argentina
159,trebol,pared blanca,peter pan,7a+,Argentina
160,trebol,pared blanca,tarugos y bananas,8c/+,Argentina
161,trebol,pared blanca,travesia,7c/+,Argentina
162,valle encantado,sector nuevo,meneaito,7b/+,Argentina
163,valle encantado,sector nuevo,toma de juan,7a+/7b,Argentina
164,valle encantado,valle encantado,peluca,7a,Argentina
165,valle encantado,valle encantado,perita,6b+/6c,Argentina
166,valle encantado,valle encantado,terreno,6,Argentina
167,villa llanquin,rocas rojas,buenos aires,6a+/6b,Argentina
168,villa llanquin,rocas rojas,consuelo del abuelo,6b+/6c,Argentina
169,villa llanquin,rocas rojas,pito catala,8b/+,Argentina
170,villa llanquin,rocas rojas,santiago,6b,Argentina
171,acidos,babilonia,acido latico,6c,Brazil
172,ana chata,face norte,elektra,6,Brazil
173,ana chata,face sul,asterix,7a+/7b,Brazil
174,andorinhas,pedra branca,atestado de cadena,7a,Brazil
175,andorinhas,pedra branca,fala meu justo,7a/+,Brazil
176,andorinhas,pedra branca,janela do universo,6c/+,Brazil
177,andorinhas,pedra branca,meu amigo friend,6b/+,Brazil
178,andorinhas,pedra branca,musgonoszoi,6a+/6b,Brazil
179,andorinhas,pedra branca,regletes ocultos,6b/+,Brazil
180,anhangava,campo das panelas,aids,6b+/6c,Brazil
181,anhangava,campo das panelas,aquela de la,6b/+,Brazil
182,anhangava,campo das panelas,bronha,6a/+,Brazil
183,anhangava,campo das panelas,codigo de etica,7b,Brazil
184,anhangava,campo das panelas,dicotomia,6c/+,Brazil
185,anhangava,campo das panelas,dragao refogado,7c,Brazil
186,anhangava,campo das panelas,laranja mecanica,6b+/6c,Brazil
187,anhangava,campo das panelas,parece mas nao e,6,Brazil
188,anhangava,campo das panelas,porca miseria,6a+/6b,Brazil
189,anhangava,campo das panelas,professor,6a+,Brazil
190,anhangava,campo das panelas,sai de baixo,5c,Brazil
191,anhangava,campo das panelas,sata te chama,6b/+,Brazil
192,anhangava,campo das panelas,sete quedas,7a+,Brazil
193,anhangava,campo das panelas,taca os cuscos nos moluscos,7a+,Brazil
194,anhangava,caverna,chamine do corvo,5a+,Brazil
195,anhangava,caverna,fissura de mao da caverna,5a+,Brazil
196,anhangava,pedra do almoco,andorinhas total,6a,Brazil
197,anhangava,pedra do almoco,aresta pelada,6b,Brazil
198,anhangava,pedra do almoco,bunda,6a+/6b,Brazil
199,anhangava,pedra do almoco,caninana,5b+,Brazil
200,anhangava,pedra do almoco,cuidado com as prantinhas,6b+/6c,Brazil
201,anhangava,pedra do almoco,decima sinfonia,7b+/7c,Brazil
202,anhangava,pedra do almoco,escoteiros,6b/+,Brazil
203,anhangava,pedra do almoco,fissura da caverna,6a/+,Brazil
204,anhangava,pedra do almoco,monica total pela barriga,5c+,Brazil
